,Address,Locality,Price,Beds,Area,Full Baths,Half Baths,Lot Size
0,0 Gateway,"Rock Springs, WY 82901","$725,000",,,,,
1,1003 Winchester Blvd.,"Rock Springs, WY 82901","$452,900",4,,4,,0.21 Acres
2,600 Talladega,"Rock Springs, WY 82901","$396,900",5,"3,154",3,,
3,3239 Spearhead Way,"Rock Springs, WY 82901","$389,900",4,"3,076",3,,"Under 1/2 Acre, "
4,522 Emerald Street,"Rock Springs, WY 82901","$254,000",3,"1,172",3,,"Under 1/2 Acre, "
5,1302 Veteran's Drive,"Rock Springs, WY 82901","$252,900",4,"1,932",2,,0.27 Acres
6,1021 Cypress Cir,"Rock Springs, WY 82901","$210,000",4,"1,676",3,,"Under 1/2 Acre, "
7,913 Madison Dr,"Rock Springs, WY 82901","$209,000",3,"1,344",2,,"Under 1/2 Acre, "
8,1344 Teton Street,"Rock Springs, WY 82901","$199,900",3,"1,920",2,,"Under 1/2 Acre, "
9,4 Minnies Lane,"Rock Springs, WY 82901","$196,900",3,"1,664",2,,2.02 Acres
